Fecha de diagnóstico,BMW,Casos,Muertes,Mov Residencial,Mov trabajo,Mov estaciones
2020-09-21,184.0,290.14285714285717,9.0,15.333333333333334,-29.666666666666668,-44.666666666666664
2020-09-22,183.0,290.14285714285717,8.0,14.666666666666666,-28.333333333333332,-41.0
2020-09-23,198.0,316.0,12.0,15.0,-28.0,-35.0
2020-09-24,177.0,308.14285714285717,15.0,15.0,-29.333333333333332,-38.0
2020-09-25,215.0,302.7142857142857,3.0,14.333333333333334,-23.666666666666668,-37.0
2020-09-26,161.0,300.0,12.0,10.0,-13.333333333333334,-31.333333333333332
2020-09-27,0.0,305.57142857142856,9.0,9.666666666666666,-15.0,-40.0
2020-09-28,230.0,295.7142857142857,9.0,14.333333333333334,-26.666666666666668,-37.666666666666664
2020-09-29,228.0,278.7142857142857,10.0,14.0,-26.0,-37.333333333333336
2020-09-30,197.0,259.57142857142856,13.0,13.666666666666666,-27.333333333333332,-35.333333333333336
2020-10-01,222.0,262.14285714285717,6.0,13.0,-26.333333333333332,-37.333333333333336
2020-10-02,200.0,292.85714285714283,7.0,12.666666666666666,-21.0,-32.0
2020-10-03,147.0,306.0,13.0,7.333333333333333,-11.0,-28.666666666666668
2020-10-04,0.0,306.0,7.0,8.666666666666666,-12.333333333333334,-36.333333333333336
2020-10-05,248.0,284.14285714285717,4.0,12.0,-26.0,-34.0
2020-10-06,214.0,270.0,9.0,12.0,-24.666666666666668,-32.333333333333336
2020-10-07,219.0,263.7142857142857,8.0,12.0,-25.333333333333332,-30.0
2020-10-08,222.0,267.85714285714283,13.0,12.333333333333334,-26.666666666666668,-29.666666666666668
2020-10-09,212.0,226.28571428571428,7.0,11.666666666666666,-22.0,-28.0
2020-10-10,124.0,211.0,7.0,7.666666666666667,-11.0,-22.666666666666668
2020-10-11,0.0,211.0,6.0,7.0,-11.333333333333334,-37.333333333333336
2020-10-12,27.0,213.71428571428572,6.0,17.333333333333332,-66.66666666666667,-40.0
2020-10-13,275.0,220.28571428571428,6.0,12.0,-23.666666666666668,-28.333333333333332
2020-10-14,199.0,209.0,9.0,13.333333333333334,-25.0,-19.0
2020-10-15,189.0,189.0,4.0,13.333333333333334,-24.666666666666668,-25.666666666666668
2020-10-16,252.0,210.57142857142858,17.0,12.333333333333334,-19.666666666666668,-23.333333333333332
2020-10-17,160.0,209.14285714285714,10.0,8.333333333333334,-8.333333333333334,-19.666666666666668
2020-10-18,0.0,211.0,7.0,9.0,-9.333333333333334,-28.0
2020-10-19,189.0,250.0,4.0,13.333333333333334,-25.0,-23.0
2020-10-20,211.0,280.42857142857144,14.0,13.0,-23.0,-22.0
